category,title,description,location,price,start_time,end_time,duration,day_of_week
Judging,Grange Booth Judging,,Grange Booth, Free ,8/10/2026 10:00,8/10/2026 11:00,1,Mon
Judging,Open Class Food Judging,,Floral Hall, Free ,8/10/2026 11:00,8/10/2026 12:00,1,Mon
General,Special of the Day Grange,,Grange Booth, Free ,8/10/2026 12:00,8/10/2026 16:00,4,Mon
Racing,NYS Harness Racing,,Grandstand, Free ,8/10/2026 12:00,8/10/2026 13:00,1,Mon
Show,4-H Poultry Show,,4-H Building, Free ,8/10/2026 12:00,8/10/2026 13:00,1,Mon
Judging,Open Flower Show Judging,,Floral Hall, Free ,8/10/2026 12:00,8/10/2026 13:00,1,Mon
Ceremony,Opening Ceremonies,,Floral Hall, Free ,8/10/2026 13:00,8/10/2026 14:00,1,Mon
Sale,Open Class Baked Food Sale,,Floral Hall, Free ,8/10/2026 14:00,8/10/2026 18:00,4,Mon
Music,James Draudt,Back Porch Band Series,Floral Hall, Free ,8/10/2026 17:00,8/10/2026 19:00,2,Mon
Judging,4-H Flower/Vegetable Judging,,4-H Building, Free ,8/10/2026 17:00,8/10/2026 18:30,1.5,Mon
Contest,NYS Sanctioned Horse Pull,,Grandstand, Free ,8/10/2026 17:30,8/10/2026 19:00,1.5,Mon
Judging,Open Vegetable Judging,,Floral Hall, Free ,8/10/2026 19:00,8/10/2026 20:00,1,Mon
Contest,Grease Pole Qualifications,,Floral Hall, Free ,8/10/2026 19:00,8/10/2026 20:00,1,Mon
Music,Friar Tuck Band,,Entertainment Alley, Free ,8/10/2026 19:00,8/10/2026 21:30,2.5,Mon
Show,4-H Mini/Driving Horse Show,,Grandstand, Free ,8/11/2026 10:00,8/11/2026 11:30,1.5,Tue
Show,4-H Goat Show,,4-H Building, Free ,8/11/2026 11:00,8/11/2026 12:30,1.5,Tue
General,Special of the Day Grange Booth,,Grange Booth, Free ,8/11/2026 11:00,8/11/2026 15:00,4,Tue
Meeting,Stockholder Meet & Greet,,Floral Hall, Free ,8/11/2026 11:00,8/11/2026 12:00,1,Tue
Show,4-H Rabbit & Cavy Show,,4-H Building, Free ,8/11/2026 13:00,8/11/2026 14:00,1,Tue
Game,Spin to Win Wheel,,Commercial Building #1, Free ,8/11/2026 13:00,8/11/2026 17:00,4,Tue
Music,Innisfree Celtic Music Ensemble ,Back Porch Band Series,Floral Hall, Free ,8/11/2026 13:00,8/11/2026 15:00,2,Tue
Show,Open Draft Horse Show,,Grandstand, Free ,8/11/2026 14:00,8/11/2026 15:00,1,Tue
Contest,Open Beef Showmanship,,Cattle Barn, Free ,8/11/2026 14:00,8/11/2026 15:00,1,Tue
Show,Open Beef Show,,Cattle Barn, Free ,8/11/2026 15:00,8/11/2026 16:00,1,Tue
Exhibit,Gladiolus Show Opens to Public,,Floral Hall, Free ,8/11/2026 15:00,8/11/2026 19:00,4,Tue
General,Sensory Friendly Hours,,Sensory Tent, Free ,8/11/2026 16:00,8/11/2026 18:00,2,Tue
Activities,CCE Day Activities,,Cattle Barn, Free ,8/11/2026 16:00,8/11/2026 19:00,3,Tue
Show,4-H Dog Show,,4-H Building, Free ,8/11/2026 17:00,8/11/2026 18:00,1,Tue
Music,Anthony Blood,Back Porch Band Series,Floral Hall, Free ,8/11/2026 17:00,8/11/2026 19:00,2,Tue
Rides,RIDES OPEN,,Midway, Visit Ticket Booth ,8/11/2026 18:00,8/11/2026 23:00,5,Tue
Meeting,CCE Board Meeting,,Floral Hall, Free ,8/11/2026 18:15,8/11/2026 19:15,1,Tue
Judging,WC Fair Pie Contest Judging,,Floral Hall, Free ,8/11/2026 18:30,8/11/2026 19:30,1,Tue
Contest,Empire State Pullers Tractor Pull,,Grandstand, $15.00 ,8/11/2026 19:00,8/11/2026 21:00,2,Tue
Judging,Open Fruit Judging,,Floral Hall, Free ,8/11/2026 19:30,8/11/2026 20:30,1,Tue
Auction,Pie Contest Auction,,Floral Hall, Free ,8/11/2026 19:30,8/11/2026 20:30,1,Tue
